id,title,author,genre,description
1,Lost City,Aarav Martinez,Mystery,"A concise, practical guide to personal and professional growth."
2,Stolen Horizon,Sara Sharma,Travel,"A moving story about family, second chances, and resilience."
3,Fallen House of Dreams,David Sharma,Fantasy,A fast-paced thriller that keeps you guessing until the end.
4,Golden City,John Johnson,Romance,A romantic tale set against turbulent times.
5,Burning Covenant and Dust,Fatima Brown,Travel,"A gripping tale of ambition, love, and consequence."
6,Whispering River in Silence,Noah Wilson,Philosophy,"A concise, practical guide to personal and professional growth."
7,Broken River of Autumn,Samuel Malhotra,Mystery,"A moving story about family, second chances, and resilience."
8,Hidden Labyrinth and Dust,Vikram Kapoor,Fantasy,A romantic tale set against turbulent times.
9,Burning Promise and Dust,Aarav Patel,Arts,An edge-of-your-seat mystery that explores truth and betrayal.
10,Fallen Garden at Dawn,David Martinez,Business,A romantic tale set against turbulent times.
11,Last Garden of Autumn,Daniel Rao,Mystery,"A moving story about family, second chances, and resilience."
12,Shattered Bridge of Dreams,Daniel Brown,Science Fiction,A thought-provoking look at technology and human connection.
13,Lost Garden in Silence,Fatima Lee,Children,"A concise, practical guide to personal and professional growth."
14,Whispering Clock of Dreams,Rahul Garcia,Poetry,"A gripping tale of ambition, love, and consequence."
15,Last City at Dawn,Zara Smith,Arts,"A gripping tale of ambition, love, and consequence."
16,Whispering Labyrinth and Secrets,Liam Rao,Travel,A journey through loss and discovery in unexpected places.
17,Hidden Voyage and Dust,Rohan Khan,Biography,A fast-paced thriller that keeps you guessing until the end.
18,Secret Shadow of Autumn,Kabir Rao,Technology,An edge-of-your-seat mystery that explores truth and betrayal.
19,Rising City and Dust,Liam Wilson,Thriller,An edge-of-your-seat mystery that explores truth and betrayal.
20,Burning Memory in Silence,Anna Garcia,Fiction,"A concise, practical guide to personal and professional growth."
21,Burning Sky,Emma Nair,Business,"A concise, practical guide to personal and professional growth."
22,Silent River of Youth,Samuel Martinez,Science Fiction,An edge-of-your-seat mystery that explores truth and betrayal.
23,Fading Voyage at Dawn,Leah Wilson,Children,"A moving story about family, second chances, and resilience."
24,Fallen Promise and Dust,Aarav Kapoor,Horror,An adventurous saga across continents and generations.
25,Golden Forest,Arjun Martinez,Business,"A concise, practical guide to personal and professional growth."
26,Stolen Forest in Winter,Priya Iyer,Mystery,A journey through loss and discovery in unexpected places.
27,Fading Promise,Maya Singh,Health,"A concise, practical guide to personal and professional growth."
28,Fading Garden of Youth,Michael Khan,Romance,A fast-paced thriller that keeps you guessing until the end.
29,Burning House of Tomorrow,Fatima Nair,Romance,A journey through loss and discovery in unexpected places.
30,Broken Voyage,Karan Singh,Children,An edge-of-your-seat mystery that explores truth and betrayal.
31,Crimson Shadow of Dreams,John Brown,Travel,"A gripping tale of ambition, love, and consequence."
32,Last Voyage of Autumn,Anna Iyer,Fantasy,A fast-paced thriller that keeps you guessing until the end.
33,Fading Light of Dreams,Kabir Nair,Fantasy,A fast-paced thriller that keeps you guessing until the end.
34,Forgotten Labyrinth and Dust,Zara Brown,Biography,A fast-paced thriller that keeps you guessing until the end.
